date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,60.0,60.0,,,
2017-09-01,60.0,60.0,,,
2017-10-01,60.0,60.0,,,
2017-11-01,60.0,60.0,,,
2017-12-01,60.0,60.0,,,
2018-01-01,60.0,60.0,,,
2018-02-01,60.0,60.0,,,
2018-03-01,60.0,60.0,,,
2018-04-01,60.0,60.0,,,
2018-05-01,60.0,60.0,,,
2018-06-01,60.0,60.0,,,
2018-07-01,60.0,60.0,,,
2018-08-01,75.0,75.0,,,
2018-09-01,75.0,75.0,,,
2018-10-01,75.0,75.0,,,
2018-11-01,75.0,75.0,,,
2018-12-01,75.0,75.0,,,
2019-01-01,75.0,75.0,,,
2019-02-01,75.0,75.0,,,
2019-03-01,75.0,75.0,,,
2019-04-01,75.0,75.0,,,
2019-05-01,75.0,75.0,,,
2019-06-01,75.0,75.0,,,
2019-07-01,75.0,75.0,,,
2019-08-01,65.0,65.0,,,
2019-09-01,65.0,65.0,,,
2019-10-01,65.0,65.0,,,
2019-11-01,65.0,65.0,,,
2019-12-01,65.0,65.0,,,
2020-01-01,65.0,65.0,,,
2020-02-01,65.0,65.0,,,
2020-03-01,65.0,65.0,,,
2020-04-01,50.0,50.0,,,
2020-05-01,50.0,50.0,,,
2020-06-01,50.0,50.0,,,
2020-07-01,50.0,50.0,,,
2020-08-01,45.0,45.0,,,
2020-09-01,45.0,45.0,,,
2020-10-01,45.0,45.0,,,
2020-11-01,45.0,45.0,,,
2020-12-01,45.0,45.0,,,
2021-01-01,45.0,45.0,,,
2021-02-01,45.0,45.0,,,
2021-03-01,40.0,40.0,,,
2021-04-01,40.0,40.0,,,
2021-05-01,40.0,40.0,,,
2021-06-01,40.0,40.0,,,
2021-07-01,40.0,40.0,,,
2021-08-01,40.0,40.0,,,
2021-09-01,60.0,60.0,,,
2021-10-01,60.0,60.0,,,
2021-11-01,60.0,60.0,,,
2021-12-01,60.0,60.0,,,
2022-01-01,60.0,60.0,,,
2022-02-01,60.0,60.0,,,
2022-03-01,55.00000000000001,55.00000000000001,,,
2022-04-01,55.00000000000001,55.00000000000001,,,
2022-05-01,55.00000000000001,55.00000000000001,,,
2022-06-01,55.00000000000001,55.00000000000001,,,
2022-07-01,55.00000000000001,55.00000000000001,,,
2022-08-01,55.00000000000001,55.00000000000001,,,
2022-09-01,50.0,50.0,,,
2022-10-01,50.0,50.0,,,
2022-11-01,50.0,50.0,,,
2022-12-01,50.0,50.0,,,
2023-01-01,50.0,50.0,,,
2023-02-01,50.0,50.0,,,
2023-03-01,50.0,50.0,,,
2023-04-01,45.0,45.0,,,
2023-05-01,45.0,45.0,,,
2023-06-01,45.0,45.0,,,
2023-07-01,45.0,45.0,,,
2023-08-01,45.0,45.0,,,
2023-09-01,45.0,45.0,,,
2023-10-01,50.0,50.0,,,
2023-11-01,50.0,50.0,,,
2023-12-01,50.0,50.0,,,
2024-01-01,50.0,50.0,,,
2024-02-01,50.0,50.0,,,
2024-03-01,50.0,50.0,,,
2024-04-01,50.0,50.0,,,
2024-05-01,50.0,,50.0,49.86289482647317,54.569674203172326
2024-06-01,50.0,,50.0,49.86248056190518,53.736851777881384
2024-07-01,50.0,,50.0,49.86238811053317,52.42965439520776
2024-08-01,50.0,,50.0,49.87684385023342,53.29806535132229
2024-09-01,25.0,,25.0,52.01949626231532,57.252000385313295
2024-10-01,25.0,,25.0,52.733183704411935,59.11311157234013
2024-11-01,25.0,,25.0,52.73279852760196,61.50503574786126
2024-12-01,25.0,,25.0,52.73302314063329,63.167459940188564
2025-01-01,25.0,,25.0,52.73310301672461,63.69177461788058
2025-02-01,25.0,,25.0,52.73360637438226,62.93403711728752
2025-03-01,25.0,,25.0,51.30562538765127,61.504942492581904
2025-04-01,25.0,,25.0,48.44871071425539,60.341322037391365
